objectID,title,period,dynasty,reign,objectDate,objectBeginDate,objectEndDate,medium,dimensions,classification,country,region,city,tags
573443,"Shabti of the Divine Adoratrice, Henettawy",Third Intermediate Period,Dynasty 21,reign of High Priest Painedjem I,ca. 1070–1032 B.C.,-1070,-1070,Faience,H. 15.8 × W. 5.9 × D. 4.8 cm (6 1/4 × 2 5/16 × 1 7/8 in.),,Egypt,,,
714465,Papyrus fragments from the Book of the Dead of the Scribe Roy,New Kingdom,"Dynasty 18, late, or early 19",Haremhab or later,"ca. 1323–1295 B.C., possibly",-1323,-1295,"Papyrus, ink",Frame: H. 28 × W. 38 cm (11 × 14 15/16 in.),,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Writing Implements', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300404590', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q121916'}]"
714466,Papyrus fragments from the Book of the Dead of the Scribe Roy,New Kingdom,"Dynasty 18, late, or early 19",Haremhab or later,"ca. 1323–1295 B.C., possibly",-1323,-1295,"Papyrus, ink",Frame: H. 28 × W. 38 cm (11 × 14 15/16 in.),,Egypt,"Upper Egypt, Thebes",,
546112,Osiris,Third Intermediate Period,Dynasty 21–25,,ca. 1070–664 B.C.,-1070,-1070,"Copper alloy, stone",H. 33.2 × W. 10.1 × D. 5.6 cm (13 1/16 × 4 × 2 3/16 in.),,Egypt,,,
553783,Tile with a head of a Mesopotamian captive from the palace of Ramesses II,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,ca. 1279–1213 B.C.,-1279,-1279,Faience,"H. 6.1 × W. 6.7 × D.  2.5 cm (2 3/8 × 2 5/8 in., 2.5 cm)",,Egypt,Eastern Delta,,
562973,Tile,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,ca. 1279–1213 B.C.,-1279,-1279,Faience,H. 5.5 × W. 7.3 × D.  2.5 cm (2 3/16 in. × 2 7/8 in. × 1 in.),,Egypt,Eastern Delta,,
571706,Papyrus fragments from the Book of the Dead of the Scribe Roy,New Kingdom,"Dynasty 18, late, or early 19",Haremhab or later,"ca. 1323–1295 B.C., possibly",-1323,-1295,"Papyrus, ink",Frame: H. 28 × W. 38 cm (11 × 14 15/16 in.),,Egypt,"Upper Egypt, Thebes",,
570036,Jar lid,New Kingdom,Dynasty 18,Joint Reign of Hatshepsut and Thutmose III,ca. 1492–1479 B.C.,-1492,-1492,Travertine (Egyptian alabaster),Diam. 4.8 cm (1 7/8 in.),,,"Upper Egypt, Thebes",,
577195,Scale from Armor,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,Bronze,average l. ca. 11.5 cm (4 1/2 in),,Egypt,"Upper Egypt, Thebes",,
577190,Scale from Armor,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,Bronze,average l. ca. 11.5 cm (4 1/2 in),,Egypt,"Upper Egypt, Thebes",,
577192,Scale from Armor,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,Bronze,average l. ca. 11.5 cm (4 1/2 in),,Egypt,"Upper Egypt, Thebes",,
577194,Scale from Armor,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,Bronze,average l. ca. 11.5 cm (4 1/2 in),,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Armor', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300226591', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q20793164'}]"
577189,Scale from Armor,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,Bronze,average l. ca. 11.5 cm (4 1/2 in),,Egypt,"Upper Egypt, Thebes",,
577191,Scale from Armor,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,Bronze,average l. ca. 11.5 cm (4 1/2 in),,Egypt,"Upper Egypt, Thebes",,
